the_geom,the_geom_webmercator,objectid,year,dc_key,code,date_,time,race,sex,age,wound,officer_involved,offender_injured,offender_deceased,location,latino,point_x,point_y,dist,inside,outside,fatal,lat,lng
0101000020E61000004933D43055C852C0A084A12748FF4340,0101000020110F0000197C39E46FE75FC1460093C0198F5241,375262,2016,201625046941.0,0411,2016-06-05,04:09:00,W,M,38,multi,N,N,N,100 BLOCK W  Gurney St,1,2702416.97533347,251700.49488248,25,0,1,0,39.99438949,-75.13019963
0101000020E6100000A6455C8412C952C081CFEE149B014440,0101000020110F00000C3E347BB1E85FC13BF2FC5EAD915241,375263,2016,201625048414.0,0111,2016-06-09,10:35:00,B,M,47,multi/head,N,N,N,3900 BLOCK N 9th St,0,2698985.41133048,258215.60685223,25,1,0,1,40.01254522,-75.14175519
0101000020E6100000A6455C8412C952C081CFEE149B014440,0101000020110F00000C3E347BB1E85FC13BF2FC5EAD915241,375264,2016,201625048414.0,3006,2016-06-09,10:35:00,B,M,26,shoulder,N,N,N,3900 BLOCK N 9th St,0,2698985.41133048,258215.60685223,25,1,0,0,40.01254522,-75.14175519
0101000020E610000065360A41356554C0B44EA61B726B3C40,0101000020110F0000BBCA42A55F5261C14A0167B334314941,375691,2017,201703007789.0,0411,2017-02-11,10:30:00,B,M,16,leg,N,N,N,900 BLOCK S 4th  St,0,711311.91490063,-3975202.88593952,3,0,1,0,28.4197099,-81.58137537
0101000020E6100000FDF8096F28CA52C026A246BE1EF54340,0101000020110F00004736FF8C89EA5FC1D6A0D885D7835241,375692,2017,201703058388.0,0411,2017-10-21,19:22:00,B,M,28,multi,N,N,N,2700 BLOCK S Marshall St,0,2695278.57524022,222557.31891698,3,0,1,0,39.91500071,-75.15871788
0101000020E610000065360A41356554C0B44EA61B726B3C40,0101000020110F0000BBCA42A55F5261C14A0167B334314941,375693,2017,201703007795.0,0411,2017-02-11,10:30:00,B,M,22,knee,N,N,N,900 BLOCK S 4th  St,0,711311.91490063,-3975202.88593952,3,0,1,0,28.4197099,-81.58137537
0101000020E6100000E43675790ECA52C0CF77E03176FB4340,0101000020110F0000AF07CF745DEA5FC1DE27A6D4DD8A5241,375694,2017,201706024845.0,0411,2017-06-16,12:30:00,B,M,29,shin,N,N,N,1200 BLOCK Wallace St,0,2695193.01537196,240610.50033023,6,0,1,0,39.96454452,-75.15713345
0101000020E610000065360A41356554C0B44EA61B726B3C40,0101000020110F0000BBCA42A55F5261C14A0167B334314941,375695,2017,201706034529.0,0411,2017-08-12,11:20:00,B,M,19,back,N,N,N,10th / Ogden Sts ,0,711311.91490063,-3975202.88593952,6,0,1,0,28.4197099,-81.58137537
0101000020E6100000C0B6B8A519CE52C0A76153428B034440,0101000020110F000071B137CD3BF15FC10926EFA2D3935241,375696,2017,201705001117.0,0111,2017-01-21,02:41:00,W,M,32,back,N,N,N,4300 BLOCK Boone St,0,2676831.35393263,263089.31954573,5,1,0,1,40.02768735,-75.22031539
0101000020E61000008D2318FFA5C952C076A586B247FB4340,0101000020110F0000CA316BFDABE95FC1207D974EAA8A5241,375697,2017,201706041652.0,0411,2017-09-26,00:56:00,B,M,28,multi,N,N,N,600 BLOCK Franklin Pl,0,2696994.92088889,240146.34935564,6,0,1,0,39.96312553,-75.15075662
0101000020E61000008D2318FFA5C952C076A586B247FB4340,0101000020110F0000CA316BFDABE95FC1207D974EAA8A5241,375698,2017,201706041652.0,0411,2017-09-26,00:56:00,B,M,28,hip,N,N,N,600 BLOCK Franklin Pl,0,2696994.92088889,240146.34935564,6,0,1,0,39.96312553,-75.15075662
0101000020E61000008D2318FFA5C952C076A586B247FB4340,0101000020110F0000CA316BFDABE95FC1207D974EAA8A5241,375699,2017,201706041652.0,0111,2017-09-26,00:56:00,B,M,36,back,N,N,N,600 BLOCK Franklin Pl,0,2696994.92088889,240146.34935564,6,0,1,1,39.96312553,-75.15075662
